Price;Zipcode;Accommodates;Bathrooms;Bedrooms;Beds;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Thumbnail Url
20.0;28013;1;5.0;1.0;1.0;200.0;25.0;1;0;4;1125;0;https://a0.muscache.com/im/pictures/75163953/311c6771_original.jpg?aki_policy=small
63.0;28012;3;1.0;2.0;2.0;80.0;35.0;2;40;3;100;59;https://a0.muscache.com/im/pictures/25840063/c2278e3e_original.jpg?aki_policy=small
30.0;28005;1;2.0;1.0;1.0;150.0;25.0;1;0;7;1125;0;https://a0.muscache.com/im/pictures/b2c04221-fcac-4df8-a051-9c479318f319.jpg?aki_policy=small
23.0;28018;2;1.0;1.0;2.0;150.0;25.0;1;10;3;365;64;https://a0.muscache.com/im/pictures/709337/632a0617_original.jpg?aki_policy=small
30.0;28040;1;1.0;1.0;1.0;120.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/81242288/8c2e1aa8_original.jpg?aki_policy=small
30.0;28045;3;1.0;1.0;1.0;100.0;6.0;2;10;3;1125;60;https://a0.muscache.com/im/pictures/62862880/ce7b76f6_original.jpg?aki_policy=small
25.0;28012;2;1.0;1.0;1.0;100.0;15.0;1;0;1;1125;43;https://a0.muscache.com/im/pictures/52d8661e-3e29-4f16-85d2-b836dabdaecf.jpg?aki_policy=small
60.0;28012;3;2.0;2.0;2.0;150.0;30.0;1;0;2;1125;31;https://a0.muscache.com/im/pictures/fa172b60-2723-431b-8670-aa6f1cb0e963.jpg?aki_policy=small
20.0;28051;2;1.0;1.0;1.0;150.0;25.0;1;10;2;1125;13;https://a0.muscache.com/im/pictures/6c13e0a1-0c8d-4891-a754-5550b605e419.jpg?aki_policy=small
89.0;28005;4;1.5;2.0;2.0;150.0;35.0;1;0;1;1125;45;https://a0.muscache.com/im/pictures/c9788209-2fb0-4166-bf58-4c2359604829.jpg?aki_policy=small
34.0;28009;1;1.0;1.0;1.0;150.0;25.0;1;0;2;1125;10;https://a0.muscache.com/im/pictures/65233795/cb272bb8_original.jpg?aki_policy=small
28.0;28012;2;2.0;1.0;1.0;150.0;10.0;1;0;1;10;32;https://a0.muscache.com/im/pictures/1da928ed-6c30-4091-b80e-5919505a8bed.jpg?aki_policy=small
75.0;28012;3;1.0;1.0;2.0;150.0;7.0;1;0;2;1125;83;https://a0.muscache.com/im/pictures/0337164b-707a-42dd-9003-fe8af96e4936.jpg?aki_policy=small
110.0;28015;4;1.0;1.0;2.0;100.0;25.0;2;20;2;1125;56;https://a0.muscache.com/im/pictures/37700106/153efc0e_original.jpg?aki_policy=small
156.0;28005;6;2.0;2.0;4.0;300.0;72.0;2;18;2;1125;18;https://a0.muscache.com/im/pictures/ba07bbea-e4db-46bb-b8c3-8fb19bef5b26.jpg?aki_policy=small
25.0;28012;2;1.0;1.0;1.0;150.0;25.0;1;10;1;45;87;https://a0.muscache.com/im/pictures/108503769/23d337f3_original.jpg?aki_policy=small
75.0;28004;4;1.0;1.0;2.0;150.0;33.0;3;0;2;1125;34;https://a0.muscache.com/im/pictures/70a869da-3f4c-468e-a1db-4c41b33dc834.jpg?aki_policy=small
13.0;28005;1;1.0;1.0;1.0;150.0;25.0;1;0;4;1125;0;https://a0.muscache.com/im/pictures/40e0d6fa-25ae-47a8-8d9d-9d2d6867bffb.jpg?aki_policy=small
27.0;28012;2;1.0;1.0;2.0;150.0;25.0;1;19;1;3;15;https://a0.muscache.com/im/pictures/f01f76f5-6b6a-4971-a318-c95b5320e6e7.jpg?aki_policy=small
80.0;28008;2;1.0;1.0;1.0;150.0;25.0;2;0;15;120;7;https://a0.muscache.com/im/pictures/105520565/8fd4f2a6_original.jpg?aki_policy=small
35.0;28012;1;1.0;1.0;1.0;150.0;25.0;1;0;2;60;43;https://a0.muscache.com/im/pictures/47595655/5b81de37_original.jpg?aki_policy=small
